Αἰγίπλαγκτος	αἰγίπλαγκτος
Αἰγυπτιάζω	αἰγυπτιάζω
Αἰτναῖος	αἰτναῖος
Αὐλιάδες	αὐλιάδες
Βάκχευμα	βάκχευμα
Βάκχευσις	βάκχευσις
Βάκχη	βάκχη
Βαγαῖος	βαγαῖος
Βακίζω	βακίζω
Βακχάω	βακχάω
Βακχέχορος	βακχέχορος
Βακχευτής	βακχευτής
Βακχευτικός	βακχευτικός
Βακχεύσιμος	βακχεύσιμος
Βακχεύω	βακχεύω
Βακχεῖα	βακχεία
Βακχεῖος	βάκχειος
Βακχιόω	βακχιόω
Βακχώδης	βακχώδης
Βαλίος	βαλιός
Βριμώ	βριμώ
Βύνη	βύνη
Γυμνοσοφισταί	γυμνοσοφισταί
Δεινίας	δεινιάς
Δελφός	δέλφος
Δηώ	δήω2
Διογενέτωρ	διογενέτωρ
Διογενισμός	διογενισμός
Διομηνία	διομηνία
Διονυσιάζω	διονυσιάζω
Διονυσιάς	διονυσιάς
Διονυσιακός	διονυσιακός
Διονυσομανέω	διονυσομανέω
Διοπετής	διοπετής
Διοσημία	διοσημία
Διπολιώδης	διπολιώδης
Διόσδοτος	διόσδοτος
Δράκων	δράκων
Δωρίζω	δωρίζω
Δωριάζω	δωριάζω
Δωρισμός	δωρισμός
Δωριστί	δωριστί
Δόλοψ	δόλοψ
Δᾶος	δάος
Δῆμος	δημός
Εἱλωτεία	εἱλωτεία
Εἱλωτικός	εἱλωτικός
Εἵλως	εἵλως
Εὐμενικός	εὐμενικός
Εὐφροσύνη	εὐφροσύνη
Εὔφρων	εὔφρων
Εὖρος	εὖρος
Ζεύξιππος	ζεύξιππος
Ζηνόφρων	ζηνόφρων
Θήρα	θήρα
Θουριόμαντις	θουριόμαντις
Θρᾳκιστί	θρᾳκιστί
Κάδμος	κάδμος
Κάμψα	κάμψα
Κήρ	κῆρ
Καιρός	καῖρος
Καρικοεργής	καρικοεργής
Καριστί	καριστί
Καρνεῖος	κάρνειος
Καρχηδονίζω	καρχηδονίζω
Κενταυρικός	κενταυρικός
Κεφάλων	κεφαλών
Κιλικισμός	κιλικισμός
Κλειώ	κλείω3
Κλεώ	κλέω2
Κορινθιάζομαι	κορινθιάζομαι
Κορινθιουργής	κορινθιουργής
Κρέων	κρεών
Κρητισμός	κρητισμός
Κρονόληρος	κρονόληρος
Κυδωνέα	κυδωνέα
Κυδωνίτης	κυδωνίτης
Κυδωνιάω	κυδωνιάω
Κυδωνᾶτον	κυδωνᾶτον
Κυκλοέλικτος	κυκλοέλικτος
Κυκλογράφος	κυκλογράφος
Κυκλογραφέω	κυκλογραφέω
Κυκλοειδής	κυκλοειδής
Κόννος	κόννος
Κύπρος	κύπρος
Κώρυκος	κώρυκος
Κῦρος	κῦρος
Κῶς	κῶς
Λάμαχος	λάμαχος
Λάμια	λάμια
Λάμος	λάμος
Λίνος	λίνος
Λακωνίζω	λακωνίζω
Λακωνιστής	λακωνιστής
Λεῦκος	λευκός
Λυδίζω	λυδίζω
Λυδιστί	λυδιστί
Λυδοπαθής	λυδοπαθής
Λυκιοεργής	λυκιοεργής
Μέμνων	μέμνων
Μίμας	μιμάς
Μακεδονίζω	μακεδονίζω
Μαραθωνομάχης	μαραθωνομάχης
Μηδίζω	μηδίζω
Μηδισμός	μηδισμός
Μηδιστί	μηδιστί
Μηδοκτόνος	μηδοκτόνος
Μυσός	μυσός
Μυότρωτος	μυότρωτος
Μόσχος	μόσχος2
Μύρσινος	μύρσινος
Ναξιουργής	ναξιουργής
Νειλογενής	νειλογενής
Νειλοθερής	νειλοθερής
Νειλομέτριον	νειλομέτριον
Νειλόρυτος	νειλόρυτος
Νηρίς	νῆρις
Πάνορμος	πάνορμος
Πάρος	πάρος
Πέλλας	πελλᾶς
Παιάν	παιάν
Παιηόνιος	παιηόνιος
Παλλάς	πάλλας
Πεδοσκαφής	πεδοσκαφής
Περσίζω	περσίζω
Περσιστί	περσιστί
Περσοδιώκτης	περσοδιώκτης
Περσοκτόνος	περσοκτόνος
Περσονομέομαι	περσονομέομαι
Πλάτων	πλάτων
Πλειστός	πλεῖστος
Πολιάς	πολιάς
Πριαπίσκος	πριαπίσκος
Πριαπισκωτός	πριαπισκωτός
Πριαπισμός	πριαπισμός
Πρωτεύς	πρωτεύς
Πυθαγορίζω	πυθαγορίζω
Πυθαγορικός	πυθαγορικός
Πυθαγορισμός	πυθαγορισμός
Πυθιονίκης	πυθιονίκης
Πυθιόνικος	πυθιόνικος
Πυλαία	πυλαία
Πυλαγορέω	πυλαγορέω
Πῶρος	πωρός
Σάραπις	σάραπις
Σατυριστής	σατυριστής
Σατυρογράφος	σατυρογράφος
Σατυρώδης	σατυρώδης
Σκιάς	σκιάς
Σκυθιστί	σκυθιστί
Σμυρναῖος	σμυρναῖος
Σμύρνα	σμύρνα
Σπάρτη	σπάρτη
Σπανός	σπανός
Στώαξ	στώαξ
Τίγρις	τίγρις
Τίτυρος	τίτυρος
Ταραντινίζω	ταραντινίζω
Ταραντῖνον	ταραντῖνον
Ταρταρίζω	ταρταρίζω
Τελενικίζω	τελενικίζω
Τιμαιογραφέω	τιμαιογραφέω
Τιμώνιον	τιμώνιον
Τριτοπάτωρ	τριτοπάτωρ
Φάρος	φάρος
Φιλοχάρης	φιλοχαρής
Φρυγιστί	φρυγιστί
Φόρμος	φορμός
Φᾶνος	φανός2
Χείρων	χείρων
Χιογενής	χιογενής
Χιουργής	χιουργής
Χοάνη	χοάνη
ίδος	ἶδος
αἰγώλιος	αἰγωλιός
αἰθος	αἰθός
αἰνοπατήρ	αἰνοπάτηρ
αἰνός	αἶνος
αἶνος	αἰνός
αὐθάδεια	αὐθαδία
αὐτεπιτακτής	αὐτεπιτάκτης
αὖ2	αὖ
βαθύγηρως	βαθυγήρως
βαρυζηλος	βαρύζηλος
βασιλεία	βασίλεια
βαυνός	βαῦνος
βεκός	βέκος
βλεπτος	βλεπτός
βορός	βορός1
βουστρόφος	βούστροφος
βρίζω	βρίζω1
βραχυλόγος	βραχύλογος
γαῦλος	γαυλός
γεωρύχος	γεώρυχος
γράστις	κράστις
γυιαρκης	γυιαρκής
γύης2	γύης
γύλιος	γυλιός
δέλτος	δέλτος2
δίκερως	δικέρως
δαίς3	δαίς
δειπνηστός	δείπνηστος
δενδροκόμος	δενδρόκομος
διαλλάξις	διάλλαξις
διαπυρος	διάπυρος
διχῆ	διχή
διόσπυρος	διόσπυρον
δορος	δορός
δωδεκαπήχυς	δωδεκάπηχυς
εἰαμενή	εἱαμενή
εἰργμοφύλαξ	εἱργμοφύλαξ
εἰργμός	εἱργμός
εἰσθέω	ἐσθέω
εἴρη	εἴρη1
εἶεν	εἶἑν
εὐάς	εὔας
εὐαγωγός	εὐάγωγος
εὐηκής	εὐήκης
εὐπαραμύ̄θητος	εὐπαραμύθητος
εὔλυρος2	εὔλυρος
εὔστρα	εὕστρα
ζητρεῖον	ζήτρειον
ζῳοποιέω1	ζωοποιέω
θήν	θην
θεολογία	θεολόγια
θεοτειχής	θεοτείχης
θνήσκω	θνῄσκω
θοός	θοός1
θρηνώδης	θρηνῴδης
θύμος	θυμός
θύρῃφι	θύρηφι
κάμμαρος	κάμμορος
κάν	κἄν
κήλας	κηλάς
κίσσα	κίττα
καιρωστίς	καιρωστρίς
κακηγοριά	κακηγορία
κακοῦργος	κάκουργος
καλλίφλοξ	κάλλιφλοξ
καλοκαγαθία	καλοκἀγαθία
καλοκαγαθικός	καλοκἀγαθικός
καρ́πωμα	κάρπωμα
καρατόμος	καράτομος
καρπός2	καρπός1
καταδεής	καταδεής1
καταθνήσκω	καταθνῄσκω
κατακλαίω	κατακλάω2
καταρρᾳθυμέω	καταρραθυμέω
καυματωδής	καυματώδης
καῦσος	καῦσος1
κεγχρίτης	κεγχρίτης2
κεράστης	κεραστής
κεραστής	κεράστης
κερκοῦρος	κέρκουρος
κεροέις	κερόεις
κηλάς	κήλας
κηροτρόφος	κηρότροφος
κηρότροφος	κηροτρόφος
κιλλός	κίλλος
κισθός	κίσθος
κιχρημι	κίχρημι
κλέω	κλέω1
κλαίω	κλάω1
κλῄζω2	κλῄζω
κοιλωπής	κοιλώπης
κοπίζω	κοπίζω1
κοράκινος	κορακῖνος
κορακῖνος	κοράκινος
κορεία	κορεία1
κροκόδειλος	κροκόδιλος
κρυφᾶ	κρύφα
κυαναιγίς	κυάναιγις
κυανόφρυς	κυάνοφρυς
κυκλήσις	κύκλησις
κυπασσίς	κύπασσις
κυπρῖνος	κύπρινος2
κωλέα	κωλῆ
κόιλος	κοῖλος
κόραξος	κοραξός
κύπρινος	κύπρινος1
κῆμος	κημός
λαγῶς	λαγώς
λαχή	λάχη
ληρός	λῆρος
λιμηρός2	λιμηρός1
λινοζῶστις	λινόζωστις
λυροκτύπος	λυρόκτυπος
λᾶθος	λάθος
μάκρος	μακρός
μάψ	μάψ2
μήρινθος	μήρινθος2
μήτις	μῆτις
μακρός	μάκρος
μαλός	μαλός1
μαῦλις	μαῦλις2
μελεοπόνος	μελεόπονος
μετακοσμήσις	μετακόσμησις
μικρύνω	σμικρύνω
μιλτοπάρῃος	μιλτοπάρηος
μοναυλία	μοναυλία1
μυρμηκία	μυρμηκιά
μυστιπόλος	μυστίπολος
μυωτός	μυωτός1
μόσχος2	μόσχος
μύλλος	μυλλός1
μῆτις	μήτις
μῖγμα	μίγμα
μῖξις	μίξις
νέατος	νέατος2
ναίω2	ναίω
ναυκράτης	ναυκρατής
ναυκραρία	ναυκράρια
ναυμάχος	ναύμαχος
νεατός	νέατος1
νεηκής	νεήκης
νειρός	νειρός1
νεοτόκος	νεότοκος
νεουργός	νεουργός1
νηρίτης	νηρείτης
νομαῖος	νόμαιος
νυμφίος2	νυμφίος
νόμαιος	νομαῖος
ξένος2	ξένος
ξιφίον	ξίφιον
ξυστός2	ξυστός1
ονος	ὄνος
οἰκτιρμων	οἰκτίρμων
οὐ	οὗ2
οὗ	οὐ|οὔ
πάρουρος	πάρουρος1
πέζις	πεζίς
πέλανος	πελανός
πέλλος	πελλός
πέρ	περ
πέρατος	περατός
πέταυρον	πέτευρον
πί̄λησις	πίλησις
παίω2	παίω
παιδία	παιδιά
παμμάχος	πάμμαχος
παμπολύς	πάμπολυς
παναισχής	παναίσχης
πανδοκεία	πανδόκεια
πανδούρα	πανδοῦρα
πανοικίᾳ	πανοικία
πανστρατιά	πανστρατιᾷ
παρακαταθνήσκω	παρακαταθνῄσκω
παραυτά	πάραυτα
παρειάς	παρείας
παρθενία	παρθένια
πεζίς	πέζις
πεπλος	πέπλος
περιγραπτός	περίγραπτος
περιστένω	περιστένω1
περιχθών	περίχθων
πεσσεία	πεττεία
πεῖσμα	πεῖσμα1
πιννοτήρης	πινοτήρης
πλήμμυρα	πλήμυρα
πλακερός	πλοκερός
πλατός	πλάτος
πλημμυρέω	πλημυρέω
πλημμυρίς	πλημυρίς
πλοκίον	πλόκιον
ποιόνομος	ποιονόμος
πολυδειράς	πολυδειράς1
πολυδρόμος	πολύδρομος
πολυχόος	πολύχοος
πολύπους2	πολύπους1
ποστός	πόστος
ποτής	πότης
ποτός	πότος
πράν	πρᾶν
πρακτόρεια	πρακτορεία
προέξειμι	προέξειμι1
προθνήσκω	προθνῄσκω
προλέγω2	προλέγω
προσῳδής	προσώδης
πρωτοτοκία	πρωτοτόκια
πτέρις	πτερίς
πτόα	πτοία
πυέλος	πύελος
πυππάξ	πύππαξ
πυρολογ́ος	πυρολόγος
πυροφορέω	πυροφορέω2
πυρώδης	πυρώδης2
πωλητηρίον	πωλητήριον
πότημα	πότημα2
πότης	ποτής
πότος	ποτός
πύος	πυός
πᾶλος	πάλος
πῶς2	πῶς
σάκκος	σάκος2
σαίρω	σαίρω1
σαραπιάς	σεραπιάς
σαυνίον	σαύνιον
σεληνόγονον	σεληνόγονος
σιδηρεῖα	σιδηρεία
σκάρος	σκάρος1
σκαφίς	σκαφίς1
σκιρός	σκῖρος
σκιφός	σκίφος
σκνιπός	σκνιπός2
σκῖρος	σκιρός
σπάδων	σπαδών
σπάρτος	σπαρτός
σπίζω	σπίζω1
στάθμιον	σταθμίον
στομίς	στόμις
στομφός	στόμφος
στρίφνος	στριφνός
στριφνός	στρίφνος
συγκαταθνήσκω	συγκαταθνῄσκω
συκοφαντιά	συκοφαντία
συμμάρτυς	σύμμαρτυς
συνεκθνήσκω	συνεκθνῄσκω
συνεκσώζω	συνεκσῴζω
συνθνήσκω	συνθνῄσκω
συνοικουρός	συνοίκουρος
σφυρίον	σφυρίον2
σύγχρωτα	συγχρῶτα
σώζω	σῴζω
σῖγμα	σίγμα
τάτα	τατᾶ
τίς	τις
ταυτολογέω	ταὐτολογέω
τευχήεις	τευχήρης
τεός	τέος2
τιθάς	τιθὰς
τιθύμαλος	τιθύμαλλος
τιτθή	τίτθη
τορός	τόρος
τουτεί	τουτεῖ
τραχοῦρος	τράχουρος
τριετής	τριέτης
τριχοτομέω	τριχοτομέω1
τρομός	τρόμος
τροπός	τρόπος
τρόπος	τροπός
τόρος	τορός
τῇδε	τῆδε
φάλος	φαλός
φή	φή2
φαινολίς	φαινόλις
φαλαρός	φάλαρος
φαλός	φάλος
φαρμακός	φάρμακος
φηλητής	φιλήτης
φοινικοπάρῃος	φοινικοπάρηος
φονός	φόνος
φορός	φόρος
φόρος	φορός
φώς	φῶς
φῦζα	φύζα
χάλκεος	χαλκοῦς
χιλος	χιλός
χοῦς2	χοῦς1
χρώζω	χρῴζω
χρῆ	χρή
ψευδόχρυσος	ψευδόχρυσος2
ἀέριος	ἠέριος
ἀγένεια	ἀγέννεια
ἀγή2	ἄγη
ἀγροῖκος	ἄγροικος
ἀγχιστεῖα	ἀγχιστεία
ἀγός	ἄγος1
ἀεροειδής	ἠεροειδής
ἀησσητος	ἀήσσητος
ἀκή	ἀκή1
ἀκρέα	ἄκρεα
ἀκρέμων	ἀκρεμών
ἀκρίς	ἄκρις
ἀλεάζω	ἀλεάζω1
ἀμάω2	ἀμάω
ἀμμά	ἅμμα
ἀμφιτόμος	ἀμφίτομος
ἀμφωτίς	ἄμφωτις
ἀνά	ἄνα1
ἀνάξιος	ἀνάξιος1
ἀνάρπαστος	ἀναρπαστός
ἀνακωχεύω	ἀνοκωχεύω
ἀναλύω	ἀναλύω2
ἀνδρότης	ἀνδροτής
ἀνθινός	ἄνθινος
ἀνοικτός	ἄνοικτος
ἀντιχορηγός	ἀντιχόρηγος
ἀντρόθε	ἄντροθε
ἀοιδός2	ἀοιδός
ἀπέρατος	ἀπέρατος1
ἀπενέπω	ἀπεννέπω
ἀπλυσία	ἀπλυσία1
ἀποδιοπομπήσις	ἀποδιοπόμπησις
ἀπολέγω2	ἀπολέγω
ἀπομιμήσις	ἀπομίμησις
ἀπομιμνήσκομαι	ἀπομιμνῄσκομαι
ἀπονέω	ἀπονέω1
ἀπφύς	ἀπφῦς
ἀπότοκος	ἀπότοκος1
ἀραιός	ἀραῖος
ἀραῖος	ἀραιός
ἀργής	ἀργῆς
ἀρεσκεία	ἀρέσκεια
ἀριστεῖα	ἀριστεία
ἀριστοτόκος1	ἀριστοτόκος
ἀροτρητής	ἀροτρήτης
ἀροτός	ἄροτος
ἀρύω	ἀρύω1
ἀστύοχος	ἀστυόχος
ἁλίς	ἅλις
ἁλεία	ἀλεία
ἁρπάγμα	ἅρπαγμα
ἄγος	ἀγός
ἄγχουρος2	ἄγχουρος
ἄγωνος	ἄγωνος1
ἄικλον	αἶκλον
ἄκρις	ἀκρίς
ἄλλῃ	ἄλλη
ἄλογχος	ἄλογχος1
ἄλσις	ἅλσις
ἄναυλος	ἄναυλος1
ἄνοικτος	ἀνοικτός
ἄποθεν	ἄπωθεν
ἄρμα	ἄρμα2
ἆγμα	ἄγμα
ἆσθμα	ἄσθμα
Ἀμύνανδρος	ἀμύνανδρος
Ἀργόλας	ἀργόλας
Ἀττίκισις	ἀττίκισις
Ἀττικίζω	ἀττικίζω
Ἀττικισμός	ἀττικισμός
Ἀττικιστής	ἀττικιστής
Ἀττικιστί	ἀττικιστί
Ἀττικουργής	ἀττικουργής
Ἀφροδίσιος	ἀφροδίσιος
Ἀφροδισιακός	ἀφροδισιακός
Ἀφροδισιασμός	ἀφροδισιασμός
Ἀφροδισιαστής	ἀφροδισιαστής
Ἀφροδισιαστικός	ἀφροδισιαστικός
Ἄγχουρος	ἄγχουρος2
Ἄμαξα	ἄμαξα
Ἄναυρος	ἄναυρος
Ἄρης	ἄρης
Ἄριστος	ἄριστος
Ἄτλας	ἄτλας
Ἄων	ἀών
ἐκάς	ἑκάς
ἐκθειόω	ἐκθειόω1
ἐκθνήσκω	ἐκθνῄσκω
ἐλάσσωμα	ἐλάττωμα
ἐλειός	ἑλειός
ἐμετός	ἔμετος
ἐνήρης	ἑνήρης
ἐνίζω	ἑνίζω
ἐναποθνήσκω	ἐναποθνῄσκω
ἐναύω	ἐναύω1
ἐνναετής	ἐνναέτης1
ἐννεάχειλος	ἐννεάχειλος1
ἐνοπή	ἐνόπη
ἐνώδιον	ἐνώτιον
ἐξαμάω2	ἐξαμάω1
ἐξαπλόω	ἑξαπλόω
ἐξαύω3	ἐξαύω2
ἐξομόρξις	ἐξόμορξις
ἐπίλογχος2	ἐπίλογχος1
ἐπαναμιμνήσκω	ἐπαναμιμνῄσκω
ἐπιδαίομαι2	ἐπιδαίομαι1
ἐπινικιος	ἐπινίκιος
ἐπιστρεπτός	ἐπίστρεπτος
ἐπιτέλλω	ἐπιτέλλω1
ἐπιτακτός	ἐπίτακτος
ἐπιφάνεια	ἐπιφάνεια1
ἐπώχατο	ἐπῴχατο
ἐρ́εθω	ἐρέθω
ἐράω2	ἐράω1
ἐρέικω	ἐρείκω
ἐρεσχελέω	ἐρεσχηλέω
ἐρεύγομαι	ἐρεύγομαι1
ἐφηλίς	ἔφηλις
ἑκατονταετής	ἑκατονταέτης
ἑνίζω	ἐνίζω
ἑξάς	ἑξᾶς
ἔα	ἔα1
ἔρος2	ἔρος
ἔψια	ἑψία
Ἐλευσίς	ἔλευσις
Ἐνόπη	ἐνοπή
Ἐπικλοπίη	ἐπικλοπίη
Ἐπιμηλίδες	ἐπιμηλίδες
Ἑκαέργος	ἑκάεργος
Ἑλληνικός	ἑλληνικός
Ἑλληνισμός	ἑλληνισμός
Ἑλληνιστής	ἑλληνιστής
Ἑλληνιστί	ἑλληνιστί
Ἑλληνοκοπέω	ἑλληνοκοπέω
Ἑρμοδάκτυλον	ἑρμοδάκτυλον
Ἑσπέρισμα	ἑσπέρισμα
Ἑσπερόθεν	ἑσπερόθεν
ἠθμός	ἡθμός
ἡδυλόγος	ἡδύλογος
ἡμός	ἦμος
ἡσυχῆ	ἡσυχῇ
ἤπου	ἦπου
ἦλος	ἧλος
ἦνις	ἤνις
Ἡγεμόνη	ἡγεμόνη
Ἡλιοσκόπιος	ἡλιοσκόπιος
Ἡλιοτρόπιον	ἡλιοτρόπιον
ἰάπτω	ἰάπτω1
ἰθυκυφής	ἰθύκυφος
ἰκτῖνος	ἴκτινος
ἰσηγορέω	ἰσηγορέομαι
ἰσογράφος	ἰσόγραφος
ἰσοδρόμος	ἰσόδρομος
ἰχθύς	ἰχθῦς
ἱδρῶα	ἵδρωα
ἱπποδρόμος	ἱππόδρομος
ἴλαος	ἵλαος
ἴς	ἴς1
ἵεσις	ἴεσις
ἶψ	ἴψ
Ἰακχάζω	ἰακχάζω
Ἰηπαιήων	ἰηπαιήων
Ἰσθμιονίκης	ἰσθμιονίκης
Ἰχνευτικός	ἰχνευτικός
Ἰωνοκάμπτης	ἰωνοκάμπτης
Ἰωνόκυσος	ἰωνόκυσος
Ἱππομέδων	ἱππομέδων
Ἱππομιγής	ἱππομιγής
Ἱππόμορφος	ἱππόμορφος
Ἱππόνικος	ἱππόνικος
Ἴος	ἰός4
Ἶρος	ἶρος
ὀά	ὀᾶ
ὀίζω	οἴζω
ὀγκίον	ὄγκιον
ὀζώδης	ὀζώδης1
ὀνομακλυτός	ὀνομάκλυτος
ὀρσοτριαίνης	ὀρσοτρίαινα
ὀσφύς	ὀσφῦς
ὀσχοφόρια	ὠσχοφόρια
ὀφρύς	ὀφρῦς
ὁδός2	ὁδός
ὁλοίτροχος	ὀλοίτροχος
ὁλοσφύρητος	ὁλοσφύρατος
ὁμίχλη	ὀμίχλη
ὁμοιομερεία	ὁμοιομέρεια
ὁροθέσια	ὁροθεσία
ὄλμος	ὅλμος
ὅτι2	ὅτι
Ὀλυμπιονίκης	ὀλυμπιονίκης
Ὀλυμπιόνικος	ὀλυμπιόνικος
Ὀροσάγγαι	ὀροσάγγαι
Ὀρφεοτελεστής	ὀρφεοτελεστής
Ὁμηρίζω	ὁμηρίζω
ὑμήν2	ὑμήν
ὑπεραποθνήσκω	ὑπεραποθνῄσκω
ὑποδεής	ὑποδεής1
ὑποκινδύνος	ὑποκίνδυνος
ὑπόστατος	ὑποστατός
ὑράξ	ὕραξ
ὑψιπετής	ὑψιπέτης
Ὑάκινθος	ὑάκινθος
Ὑμήν	ὑμήν
Ὑρμίνη	ὑρμίνη
ὤρα	ὥρα
ὤριος	ὥριος
ὥρα	ὤρα
ὥσπεροῦν	ὡσπεροὖν
Ὠγύγιος	ὠγύγιος
Ὠλήν	ὠλήν
Ὧρος	ὧρος
ᾤζω	ὤζω
ῥιζίον	ῥίζιον
ῥοιά	ῥοία
ῥυππαπαί	ῥυππαπαῖ
ῥώξ	ῥώξ1
ῥᾳθυμέω	ῥαθυμέω
ῥᾳθυμία	ῥαθυμία
ῥᾴθυμος	ῥάθυμος
ῶνος	ὦνος
